Num ordine;Data ordine;Nominativo;B2B;Categoria;Prodotto;Periodo consegna;MM consegna ordine;AA consegna ordine;GG consegna ordine;Prz unitario;Unità misura;Qta;Tot riga;Imponibile ordine;IVA;Spese spedizione e consegna;Tot ordine;Transazione;Data consegna ordine;Mod pag GG;Pagamento
2018-000234;29/12/2018;RagSoc-0017;RagSoc;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;28; 37,71 € ;Pezzo;17;641,07;641,07;20%;66;835,284;Differita;28/01/2019;93;01/04/2019
2018-000330;31/12/2018;Privato-0494;Privato;Altre piante;Piante per l'industria;Annuale;1;2019;13; 37,73 € ;Pezzo;15;565,95;565,95;20%;0;679,14;Differita;13/01/2019;39;08/02/2019
2018-000414;15/11/2018;RagSoc-0022;RagSoc;Altre piante;Piante per l'industria;Annuale;1;2019;14; 37,73 € ;Pezzo;2;75,46;75,46;20%;13;103,552;Differita;14/01/2019;100;23/02/2019
2018-000436;20/12/2018;RagSoc-0119;RagSoc;Altre piante;Piante d'arredo;Annuale;1;2019;3; 32,01 € ;Pezzo;16;512,16;512,16;20%;4;618,592;Differita;03/01/2019;58;16/02/2019
2018-000473;20/12/2018;Privato-0789;Privato;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;2; 37,71 € ;Pezzo;4;150,84;150,84;20%;3;184,008;Differita;02/01/2019;106;05/04/2019
2018-000556;02/12/2018;RagSoc-0105;RagSoc;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;24; 37,71 € ;Pezzo;7;263,97;263,97;20%;50;366,764;Differita;24/01/2019;42;13/01/2019
2018-000662;30/12/2018;RagSoc-0110;RagSoc;Altre piante;Piante per l'industria;Annuale;1;2019;31; 37,73 € ;Pezzo;5;188,65;188,65;20%;0;226,38;Differita;31/01/2019;89;29/03/2019
2018-000730;25/12/2018;RagSoc-0016;RagSoc;Spezie piante aromatiche;Alloro;Annuale;1;2019;21; 1,36 € ;Confezione;5;6,8;6,8;20%;0;8,16;Differita;21/01/2019;6;31/12/2018
2018-000819;15/11/2018;RagSoc-0012;RagSoc;Altre piante;Piante per l'industria;Annuale;1;2019;6; 37,73 € ;Pezzo;8;301,84;301,84;20%;6;368,208;Differita;06/01/2019;115;10/03/2019
2018-000843;18/12/2018;RagSoc-0078;RagSoc;Erbe officinali;Erbe diverse;Annuale;1;2019;19; 62,14 € ;kg;16;994,24;994,24;20%;1;1194,088;Differita;19/01/2019;4;22/12/2018
2018-000914;21/12/2018;Privato-0707;Privato;Erbe officinali;Erbe diverse;Annuale;1;2019;8; 62,14 € ;kg;17;1056,38;1056,38;20%;0;1267,656;Differita;08/01/2019;56;15/02/2019
2019-000001;01/04/2019;Privato-0702;Privato;Legumi;Fagioli;Aprile;4;2019;1; 60,02 € ;q;17;1020,34;1026,24;20%;28;1259,488;Immediata;01/04/2019;0;01/04/2019
2019-000001;05/05/2019;Privato-0781;Privato;Frutta;Amarene;Maggio;5;2019;5; 1,18 € ;kg;5;5,9;1026,24;20%;4;1235,488;Immediata;05/05/2019;0;05/05/2019
2019-000003;31/03/2019;Privato-0544;Privato;Ortaggi;Carote;Aprile;4;2019;2; 8,25 € ;kg;19;156,75;156,75;20%;1;189,1;Differita;02/04/2019;39;09/05/2019
2019-000005;30/12/2019;Privato-0748;Privato;Altre piante;Piante per l'industria;Annuale;1;2020;3; 37,73 € ;Pezzo;14;528,22;528,22;20%;1;634,864;Differita;03/01/2020;103;11/04/2020
2019-000006;30/04/2019;RagSoc-0049;RagSoc;Frutta;Albicocche;Maggio;5;2019;8; 4,38 € ;kg;7;30,66;30,66;20%;11;47,792;Differita;08/05/2019;92;31/07/2019
2019-000007;18/03/2019;RagSoc-0027;RagSoc;Ortaggi;Cicoria;Aprile;4;2019;21; 19,62 € ;kg;9;176,58;176,58;20%;1;212,896;Differita;21/04/2019;88;14/06/2019
2019-000008;11/04/2019;Privato-0611;Privato;Ortaggi;Spinaci;Aprile;4;2019;11; 5,04 € ;kg;17;85,68;122,8;20%;0;147,36;Immediata;11/04/2019;0;11/04/2019
2019-000008;12/04/2019;Privato-0316;Privato;Ortaggi;Pomodori;Aprile;4;2019;18; 2,32 € ;kg;16;37,12;122,8;20%;61;208,36;Differita;18/04/2019;74;25/06/2019
2019-000009;18/04/2019;Privato-0264;Privato;Ortaggi;Zucche;Aprile;4;2019;20; 17,06 € ;kg;20;341,2;342,15;20%;49;459,58;Differita;20/04/2019;43;31/05/2019
2019-000009;11/05/2019;Privato-0445;Privato;Frutta;Mele;Maggio;5;2019;15; 0,95 € ;kg;1;0,95;342,15;20%;33;443,58;Differita;15/05/2019;0;11/05/2019
2019-000011;24/05/2019;Privato-0573;Privato;Frutti di bosco;Mirtilli;Maggio;5;2019;24; 5,70 € ;kg;4;22,8;22,8;20%;7;34,36;Immediata;24/05/2019;0;24/05/2019
2019-000013;02/04/2019;Privato-0311;Privato;Ortaggi;Spinaci;Aprile;4;2019;11; 5,04 € ;kg;10;50,4;50,4;20%;9;69,48;Differita;11/04/2019;100;11/07/2019
2019-000014;15/08/2019;RagSoc-0109;RagSoc;Frutta in guscio;Mandorle;Agosto;8;2019;25; 7,45 € ;kg;12;89,4;292,6;20%;39;390,12;Differita;25/08/2019;30;14/09/2019
2019-000014;29/04/2019;Privato-0548;Privato;Ortaggi;Fagiolini;Aprile;4;2019;29; 10,16 € ;kg;20;203,2;292,6;20%;19;370,12;Immediata;29/04/2019;0;29/04/2019
2019-000017;13/08/2019;Privato-0765;Privato;Frutta in guscio;Mandorle;Agosto;8;2019;16; 7,45 € ;kg;6;44,7;44,7;20%;0;53,64;Differita;16/08/2019;111;02/12/2019
2019-000020;13/09/2019;Privato-0026;Privato;Ortaggi;Patate;Settembre;9;2019;18; 19,80 € ;kg;1;19,8;19,8;20%;62;85,76;Differita;18/09/2019;84;06/12/2019
2019-000022;25/04/2019;RagSoc-0030;RagSoc;Frutta;Ciliegie;Maggio;5;2019;25; 1,78 € ;kg;17;30,26;30,26;20%;7;43,312;Differita;25/05/2019;72;06/07/2019
2019-000025;19/04/2019;Privato-0325;Privato;Legumi;Fagioli;Aprile;4;2019;21; 60,02 € ;q;13;780,26;780,26;20%;12;948,312;Differita;21/04/2019;4;23/04/2019
2019-000026;30/01/2019;Privato-0079;Privato;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;31; 37,71 € ;Pezzo;17;641,07;756,57;20%;42;949,884;Differita;31/01/2019;62;02/04/2019
2019-000026;03/04/2019;Privato-0241;Privato;Ortaggi;Carote;Aprile;4;2019;4; 8,25 € ;kg;14;115,5;756,57;20%;4;911,884;Differita;04/04/2019;20;23/04/2019
2019-000027;21/07/2019;Privato-0338;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;13; 3,61 € ;kg;1;3,61;65,75;20%;24;102,9;Differita;13/08/2019;91;20/10/2019
2019-000027;18/01/2019;Privato-0356;Privato;Erbe officinali;Erbe diverse;Annuale;1;2019;25; 62,14 € ;kg;1;62,14;65,75;20%;10;88,9;Differita;25/01/2019;17;04/02/2019
2019-000028;05/09/2019;RagSoc-0028;RagSoc;Viti;Uva per vinificazione;Settembre;9;2019;20; 33,74 € ;q;6;202,44;202,44;20%;0;242,928;Differita;20/09/2019;98;12/12/2019
2019-000030;21/03/2019;Privato-0209;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;3; 0,55 € ;Confezione;11;6,05;204,41;20%;35;280,292;Differita;03/04/2019;103;02/07/2019
2019-000030;21/04/2019;Privato-0374;Privato;Ortaggi;Zucchine;Aprile;4;2019;26; 22,04 € ;kg;9;198,36;204,41;20%;20;265,292;Differita;26/04/2019;96;26/07/2019
2019-000031;01/04/2019;Privato-0497;Privato;Ortaggi;Meloni;Aprile;4;2019;4; 1,50 € ;kg;2;3;3;20%;3;6,6;Differita;04/04/2019;53;24/05/2019
2019-000032;02/09/2019;Privato-0638;Privato;Ulivi;Olive da tavola;Settembre;9;2019;2; 94,99 € ;q;4;379,9636364;1374,203636;20%;70;1719,044364;Immediata;02/09/2019;0;02/09/2019
2019-000032;23/01/2019;Privato-0764;Privato;Erbe officinali;Erbe diverse;Annuale;1;2019;23; 62,14 € ;kg;16;994,24;1374,203636;20%;23;1672,044364;Immediata;23/01/2019;0;23/01/2019
2019-000033;26/06/2019;Privato-0128;Privato;Cereali;Sorgo;Giugno;6;2019;28; 329,91 € ;t;14;4618,74;5091,1;20%;10;6119,32;Differita;28/06/2019;72;06/09/2019
2019-000033;05/09/2019;Privato-0149;Privato;Viti;Uva per vinificazione;Settembre;9;2019;5; 33,74 € ;q;14;472,36;5091,1;20%;4;6113,32;Immediata;05/09/2019;0;05/09/2019
2019-000034;03/08/2019;Privato-0422;Privato;Frutta;Cachi;Agosto;8;2019;17; 3,84 € ;kg;14;53,76;53,76;20%;22;86,512;Differita;17/08/2019;16;19/08/2019
2019-000035;26/09/2019;Privato-0507;Privato;Ortaggi;Finocchi;Settembre;9;2019;27; 14,06 € ;kg;5;70,3;70,3;20%;13;97,36;Differita;27/09/2019;98;02/01/2020
2019-000037;05/01/2019;Privato-0168;Privato;Erbe officinali;Erbe diverse;Annuale;1;2019;15; 62,14 € ;kg;2;124,28;124,28;20%;27;176,136;Differita;15/01/2019;74;20/03/2019
2019-000038;08/08/2019;Privato-0363;Privato;Frutta in guscio;Semi girasole;Agosto;8;2019;13; 3,98 € ;kg;5;19,9;19,9;20%;12;35,88;Differita;13/08/2019;3;11/08/2019
2019-000044;13/08/2019;Privato-0231;Privato;Frutta;Pere;Agosto;8;2019;28; 2,82 € ;kg;12;33,84;33,84;20%;7;47,608;Differita;28/08/2019;55;07/10/2019
2019-000047;15/04/2019;Privato-0077;Privato;Ortaggi;Melanzane;Aprile;4;2019;18; 11,22 € ;kg;15;168,3;168,3;20%;1;202,96;Differita;18/04/2019;103;27/07/2019
2019-000048;21/02/2019;RagSoc-0106;RagSoc;Ortaggi;Lattuga;Aprile;4;2019;9; 13,98 € ;kg;19;265,62;265,62;20%;6;324,744;Differita;09/04/2019;119;20/06/2019
2019-000049;08/04/2019;Privato-0089;Privato;Spezie piante aromatiche;Prezzemolo;Aprile;4;2019;8; 1,31 € ;Confezione;6;7,86;589,21;20%;1;708,052;Immediata;08/04/2019;0;08/04/2019
2019-000049;24/04/2019;Privato-0575;Privato;Spezie piante aromatiche;Salvia;Aprile;4;2019;25; 1,14 € ;Confezione;4;4,56;589,21;20%;2;709,052;Differita;25/04/2019;6;30/04/2019
2019-000049;11/01/2019;RagSoc-0088;RagSoc;Altre piante;Piante d'arredo;Annuale;1;2019;23; 32,01 € ;Pezzo;5;160,05;589,21;20%;0;707,052;Differita;23/01/2019;11;22/01/2019
2019-000049;01/09/2019;Privato-0795;Privato;Ortaggi;Broccoli;Settembre;9;2019;2; 22,73 € ;kg;18;409,14;589,21;20%;13;720,052;Differita;02/09/2019;53;24/10/2019
2019-000049;16/04/2019;RagSoc-0030;RagSoc;Frutta;Mele;Maggio;5;2019;7; 0,95 € ;kg;8;7,6;589,21;20%;15;722,052;Differita;07/05/2019;46;01/06/2019
2019-000052;28/08/2019;Privato-0485;Privato;Frutta;Cachi;Agosto;8;2019;30; 3,84 € ;kg;10;38,4;43,44;20%;0;52,128;Differita;30/08/2019;42;09/10/2019
2019-000052;22/02/2019;RagSoc-0089;RagSoc;Ortaggi;Spinaci;Aprile;4;2019;17; 5,04 € ;kg;1;5,04;43,44;20%;12;64,128;Differita;17/04/2019;119;21/06/2019
2019-000053;31/03/2019;RagSoc-0082;RagSoc;Frutti di bosco;Ribes;Maggio;5;2019;21; 1,52 € ;kg;6;9,12;9,12;20%;8;18,944;Differita;21/05/2019;41;11/05/2019
2019-000054;01/04/2019;Privato-0126;Privato;Ortaggi;Spinaci;Aprile;4;2019;5; 5,04 € ;kg;1;5,04;5,04;20%;1;7,048;Differita;05/04/2019;2;03/04/2019
2019-000060;21/12/2019;RagSoc-0093;RagSoc;Altre piante;Alberi e fiori da giardino;Annuale;1;2020;23; 37,71 € ;Pezzo;9;339,39;339,39;20%;1;408,268;Differita;23/01/2020;73;03/03/2020
2019-000061;29/09/2019;Privato-0145;Privato;Ortaggi;Broccoli;Settembre;9;2019;29; 22,73 € ;kg;12;272,76;272,76;20%;11;338,312;Immediata;29/09/2019;0;29/09/2019
2019-000062;12/04/2019;RagSoc-0072;RagSoc;Cereali;Grano tenero;Giugno;6;2019;4; 317,59 € ;t;16;5081,44;5793,06;20%;8;6959,672;Differita;04/06/2019;74;25/06/2019
2019-000062;29/04/2019;Privato-0057;Privato;Legumi;Fave;Aprile;4;2019;30; 117,01 € ;q;6;702,06;5793,06;20%;0;6951,672;Differita;30/04/2019;26;25/05/2019
2019-000062;05/04/2019;Privato-0561;Privato;Ortaggi;Peperoni;Aprile;4;2019;17; 2,39 € ;kg;4;9,56;5793,06;20%;4;6955,672;Differita;17/04/2019;24;29/04/2019
2019-000063;05/11/2019;RagSoc-0031;RagSoc;Altre piante;Piante per l'industria;Annuale;1;2020;2; 37,73 € ;Pezzo;20;754,6;754,6;20%;2;907,52;Differita;02/01/2020;1;06/11/2019
2019-000064;10/01/2019;Privato-0063;Privato;Altre piante;Piante d'arredo;Annuale;1;2019;13; 32,01 € ;Pezzo;15;480,15;480,15;20%;4;580,18;Differita;13/01/2019;13;23/01/2019
2019-000065;18/07/2019;RagSoc-0057;RagSoc;Frutta in guscio;Nocciole;Agosto;8;2019;12; 4,39 € ;kg;15;65,85;3078,6;20%;1;3695,32;Differita;12/08/2019;22;09/08/2019
2019-000065;14/06/2019;RagSoc-0019;RagSoc;Cereali;Segale;Giugno;6;2019;20; 334,75 € ;t;9;3012,75;3078,6;20%;63;3757,32;Differita;20/06/2019;9;23/06/2019
2019-000068;07/03/2019;RagSoc-0005;RagSoc;Ortaggi;Meloni;Aprile;4;2019;11; 1,50 € ;kg;7;10,5;10,5;20%;22;34,6;Differita;11/04/2019;36;12/04/2019
2019-000069;04/08/2019;RagSoc-0025;RagSoc;Cereali;Orzo;Settembre;9;2019;6; 316,64 € ;t;6;1899,84;1899,84;20%;0;2279,808;Differita;06/09/2019;37;10/09/2019
2019-000071;16/06/2019;Privato-0114;Privato;Cereali;Segale;Giugno;6;2019;20; 334,75 € ;t;8;2678;2678;20%;8;3221,6;Differita;20/06/2019;48;03/08/2019
2019-000072;01/03/2019;RagSoc-0020;RagSoc;Ortaggi;Cetrioli;Aprile;4;2019;5; 12,08 € ;kg;4;48,32;48,32;20%;10;67,984;Differita;05/04/2019;59;29/04/2019
2019-000073;07/04/2019;Privato-0309;Privato;Ortaggi;Lattuga;Aprile;4;2019;7; 13,98 € ;kg;6;83,88;83,88;20%;3;103,656;Immediata;07/04/2019;0;07/04/2019
2019-000074;10/06/2019;Privato-0237;Privato;Cereali;Miglio;Giugno;6;2019;12; 322,65 € ;t;10;3226,5;3226,5;20%;27;3898,8;Differita;12/06/2019;26;06/07/2019
2019-000077;18/04/2019;Privato-0690;Privato;Ortaggi;Cetrioli;Aprile;4;2019;18; 12,08 € ;kg;7;84,56;84,56;20%;0;101,472;Immediata;18/04/2019;0;18/04/2019
2019-000078;25/07/2019;Privato-0015;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;1; 3,61 € ;kg;11;39,71;39,71;20%;43;90,652;Differita;01/08/2019;95;28/10/2019
2019-000080;08/05/2019;Privato-0351;Privato;Frutta;Mele;Maggio;5;2019;13; 0,95 € ;kg;5;4,75;4,75;20%;8;13,7;Differita;13/05/2019;65;12/07/2019
2019-000082;18/04/2019;Privato-0404;Privato;Ortaggi;Pomodori;Aprile;4;2019;19; 2,32 € ;kg;20;46,4;46,4;20%;0;55,68;Differita;19/04/2019;113;09/08/2019
2019-000084;29/04/2019;Privato-0760;Privato;Frutta;Albicocche;Maggio;5;2019;17; 4,38 € ;kg;11;48,18;48,18;20%;1;58,816;Differita;17/05/2019;16;15/05/2019
2019-000086;07/09/2019;Privato-0657;Privato;Cereali;Mais;Settembre;9;2019;17; 293,38 € ;t;6;1760,28;1828,84;20%;10;2204,608;Differita;17/09/2019;7;14/09/2019
2019-000086;20/09/2019;Privato-0377;Privato;Ortaggi;Sedano;Settembre;9;2019;31; 8,57 € ;kg;8;68,56;1828,84;20%;3;2197,608;Differita;01/10/2019;6;26/09/2019
2019-000087;27/08/2019;Privato-0621;Privato;Ortaggi;Sedano;Settembre;9;2019;3; 8,57 € ;kg;16;137,12;137,12;20%;1;165,544;Differita;03/09/2019;0;27/08/2019
2019-000090;06/05/2019;Privato-0613;Privato;Frutta;Mele;Maggio;5;2019;9; 0,95 € ;kg;11;10,45;10,45;20%;22;34,54;Differita;09/05/2019;20;26/05/2019
2019-000091;14/04/2019;Privato-0550;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;20; 0,55 € ;Confezione;12;6,6;6,6;20%;0;7,92;Differita;20/04/2019;19;03/05/2019
2019-000093;23/08/2019;RagSoc-0078;RagSoc;Viti;Uva da tavola;Settembre;9;2019;15; 22,48 € ;q;2;44,96;2948,81;20%;9;3547,572;Differita;15/09/2019;3;26/08/2019
2019-000093;08/06/2019;Privato-0714;Privato;Cereali;Miglio;Giugno;6;2019;14; 322,65 € ;t;9;2903,85;2948,81;20%;23;3561,572;Differita;14/06/2019;86;02/09/2019
2019-000095;21/08/2019;RagSoc-0025;RagSoc;Cereali;Farro;Settembre;9;2019;19; 318,14 € ;t;14;4453,96;4453,96;20%;3;5347,752;Differita;19/09/2019;46;06/10/2019
2019-000096;16/09/2019;Privato-0522;Privato;Ortaggi;Carciofi;Settembre;9;2019;16; 2,34 € ;kg;11;25,74;25,74;20%;3;33,888;Immediata;16/09/2019;0;16/09/2019
2019-000098;16/09/2019;RagSoc-0021;RagSoc;Viti;Uva per vinificazione;Settembre;9;2019;21; 33,74 € ;q;17;573,58;573,58;20%;3;691,296;Differita;21/09/2019;91;16/12/2019
2019-000100;07/04/2019;Privato-0696;Privato;Ortaggi;Fagiolini;Aprile;4;2019;19; 10,16 € ;kg;13;132,08;12655,02;20%;48;15234,024;Differita;19/04/2019;10;17/04/2019
2019-000100;10/05/2019;RagSoc-0004;RagSoc;Cereali;Avena;Giugno;6;2019;6; 296,56 € ;t;19;5634,64;12655,02;20%;10;15196,024;Differita;06/06/2019;115;02/09/2019
2019-000100;26/04/2019;RagSoc-0080;RagSoc;Cereali;Sorgo;Giugno;6;2019;5; 329,91 € ;t;18;5938,38;12655,02;20%;45;15231,024;Differita;05/06/2019;9;05/05/2019
2019-000100;26/08/2019;RagSoc-0062;RagSoc;Cereali;Orzo;Settembre;9;2019;3; 316,64 € ;t;3;949,92;12655,02;20%;1;15187,024;Differita;03/09/2019;14;09/09/2019
2019-000102;18/01/2019;Privato-0778;Privato;Spezie piante aromatiche;Alloro;Annuale;1;2019;18; 1,36 € ;Confezione;13;17,68;17,68;20%;0;21,216;Immediata;18/01/2019;0;18/01/2019
2019-000104;28/08/2019;Privato-0482;Privato;Frutta;Pere;Agosto;8;2019;28; 2,82 € ;kg;13;36,66;246,36;20%;9;304,632;Immediata;28/08/2019;0;28/08/2019
2019-000104;13/04/2019;RagSoc-0085;RagSoc;Ortaggi;Lattuga;Aprile;4;2019;13; 13,98 € ;kg;15;209,7;246,36;20%;39;334,632;Immediata;13/04/2019;0;13/04/2019
2019-000105;29/08/2019;Privato-0606;Privato;Ulivi;Olive da tavola;Settembre;9;2019;1; 94,99 € ;q;6;569,9454545;569,9454545;20%;1;684,9345455;Differita;01/09/2019;34;02/10/2019
2019-000107;22/02/2019;RagSoc-0027;RagSoc;Ortaggi;Lattuga;Aprile;4;2019;5; 13,98 € ;kg;16;223,68;223,68;20%;12;280,416;Differita;05/04/2019;116;18/06/2019
2019-000110;06/09/2019;Privato-0055;Privato;Viti;Uva per vinificazione;Settembre;9;2019;19; 33,74 € ;q;4;134,96;134,96;20%;0;161,952;Differita;19/09/2019;21;27/09/2019
2019-000112;15/04/2019;Privato-0543;Privato;Ortaggi;Fagiolini;Aprile;4;2019;19; 10,16 € ;kg;4;40,64;40,64;20%;1;49,768;Differita;19/04/2019;76;30/06/2019
2019-000113;27/09/2019;Privato-0602;Privato;Cereali;Mais;Settembre;9;2019;27; 293,38 € ;t;9;2640,42;2640,42;20%;15;3183,504;Immediata;27/09/2019;0;27/09/2019
2019-000114;17/04/2019;Privato-0295;Privato;Ortaggi;Spinaci;Aprile;4;2019;17; 5,04 € ;kg;4;20,16;20,16;20%;0;24,192;Immediata;17/04/2019;0;17/04/2019
2019-000116;15/06/2019;Privato-0365;Privato;Cereali;Grano duro;Giugno;6;2019;15; 300,95 € ;t;2;601,9;601,9;20%;15;737,28;Immediata;15/06/2019;0;15/06/2019
2019-000118;03/04/2019;Privato-0095;Privato;Ortaggi;Melanzane;Aprile;4;2019;4; 11,22 € ;kg;7;78,54;78,54;20%;0;94,248;Differita;04/04/2019;69;11/06/2019
2019-000119;29/08/2019;Privato-0033;Privato;Frutta;Melograno;Agosto;8;2019;29; 3,28 € ;kg;9;29,52;1398,18;20%;0;1677,816;Immediata;29/08/2019;0;29/08/2019
2019-000119;21/05/2019;Privato-0706;Privato;Frutta;Mele;Maggio;5;2019;22; 0,95 € ;kg;6;5,7;1398,18;20%;3;1680,816;Differita;22/05/2019;5;26/05/2019
2019-000119;24/04/2019;Privato-0549;Privato;Legumi;Lenticchie;Aprile;4;2019;30; 113,58 € ;q;12;1362,96;1398,18;20%;14;1691,816;Differita;30/04/2019;116;18/08/2019
2019-000120;25/03/2019;Privato-0044;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;5; 0,55 € ;Confezione;20;11;791,26;20%;13;962,512;Differita;05/04/2019;63;27/05/2019
2019-000120;31/03/2019;RagSoc-0048;RagSoc;Legumi;Fagioli;Aprile;4;2019;7; 60,02 € ;q;13;780,26;791,26;20%;7;956,512;Differita;07/04/2019;50;20/05/2019
2019-000121;27/06/2019;Privato-0240;Privato;Cereali;Grano duro;Giugno;6;2019;28; 300,95 € ;t;14;4213,3;4861,93;20%;1;5835,316;Differita;28/06/2019;83;18/09/2019
2019-000121;29/12/2019;Privato-0367;Privato;Altre piante;Piante per l'industria;Annuale;1;2020;4; 37,73 € ;Pezzo;17;641,41;4861,93;20%;28;5862,316;Differita;04/01/2020;62;29/02/2020
2019-000121;25/08/2019;Privato-0141;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;25; 3,61 € ;kg;2;7,22;4861,93;20%;5;5839,316;Immediata;25/08/2019;0;25/08/2019
2019-000125;17/04/2019;Privato-0277;Privato;Ortaggi;Meloni;Aprile;4;2019;18; 1,50 € ;kg;8;12;1261,22;20%;22;1535,464;Differita;18/04/2019;36;23/05/2019
2019-000125;19/08/2019;RagSoc-0015;RagSoc;Ortaggi;Carciofi;Settembre;9;2019;24; 2,34 € ;kg;1;2,34;1261,22;20%;1;1514,464;Differita;24/09/2019;0;19/08/2019
2019-000125;27/04/2019;Privato-0644;Privato;Ortaggi;Angurie;Aprile;4;2019;27; 20,72 € ;kg;15;310,8;1261,22;20%;34;1547,464;Immediata;27/04/2019;0;27/04/2019
2019-000125;18/04/2019;Privato-0688;Privato;Legumi;Fave;Aprile;4;2019;21; 117,01 € ;q;8;936,08;1261,22;20%;10;1523,464;Differita;21/04/2019;69;26/06/2019
2019-000126;01/05/2019;Privato-0731;Privato;Frutta;Pesche;Maggio;5;2019;3; 4,76 € ;kg;9;42,84;42,84;20%;4;55,408;Differita;03/05/2019;64;04/07/2019
2019-000129;15/04/2019;Privato-0397;Privato;Legumi;Fave;Aprile;4;2019;16; 117,01 € ;q;1;117,01;117,01;20%;2;142,412;Differita;16/04/2019;22;07/05/2019
2019-000130;10/08/2019;Privato-0463;Privato;Frutta in guscio;Castagne;Agosto;8;2019;30; 2,87 € ;kg;3;8,61;8,61;20%;35;45,332;Differita;30/08/2019;33;12/09/2019
2019-000131;08/08/2019;Privato-0739;Privato;Frutta;Cachi;Agosto;8;2019;22; 3,84 € ;kg;1;3,84;10,24;20%;34;46,288;Differita;22/08/2019;76;23/10/2019
2019-000131;14/04/2019;Privato-0646;Privato;Spezie piante aromatiche;Rosmarino;Aprile;4;2019;15; 0,80 € ;Confezione;8;6,4;10,24;20%;0;12,288;Differita;15/04/2019;50;03/06/2019
2019-000133;02/04/2019;Privato-0751;Privato;Ortaggi;Cetrioli;Aprile;4;2019;2; 12,08 € ;kg;3;36,24;2345,61;20%;8;2822,732;Immediata;02/04/2019;0;02/04/2019
2019-000133;21/06/2019;Privato-0367;Privato;Cereali;Sorgo;Giugno;6;2019;29; 329,91 € ;t;7;2309,37;2345,61;20%;0;2814,732;Differita;29/06/2019;10;01/07/2019
2019-000135;28/07/2019;Privato-0715;Privato;Frutta in guscio;Semi girasole;Agosto;8;2019;13; 3,98 € ;kg;15;59,7;59,7;20%;4;75,64;Differita;13/08/2019;83;19/10/2019
2019-000137;01/04/2019;Privato-0691;Privato;Spezie piante aromatiche;Prezzemolo;Aprile;4;2019;3; 1,31 € ;Confezione;15;19,65;52,29;20%;0;62,748;Differita;03/04/2019;7;08/04/2019
2019-000137;14/04/2019;Privato-0689;Privato;Ortaggi;Pomodori;Aprile;4;2019;15; 2,32 € ;kg;11;25,52;52,29;20%;0;62,748;Differita;15/04/2019;109;01/08/2019
